Club,Description,Category
Some Learners Interested in Diagnosing Everything (Pathology Interest Group),Some Learners Interested in Diagnosing Everything (SLIDE) is a Pathology interest group; we study the conceptual underpinnings of biology by reviewing histology!,Academic
Somos CBE,"We advocate for representation of Latin American and Latine communities in the built environment, as well as connect Latine students in the College of Built Environments with the greater Seattle community, professional resources, and each other.",Service/Volunteer
SoN Mentorship at UW,"The purpose of the mentorship team here at UW is to help make your transition into the nursing field one that is seamless, memorable, and satisfactory. One of the many reasons the nursing field is so amazing is because of the vastly different specialitie",Pre-Health/Medical
South Asian Medical Body for Health Access and Vitality,"SAMBHAV strives to improve the South Asian community's well-being and access to healthcare. Its initiatives aim to lower healthcare disparities, encourage well-being, and expand access to healthcare services.",Pre-Health/Medical
South Asian Student Association at UW,"SASA aims to spread awareness about the diverse culture of South Asia to the UW community and the greater Seattle area. We represent 6 different South Asian countries: Bangladesh, Bhutan, India, Nepal, Pakistan, Sri Lanka.",Engineering/Tech
Spanish Club,The purpose of this club is to create a space where people of all Spanish ability levels can come together and practice. We hold meetings every week.,Hobbies/Interest
Special Olympics College at University of Washington,"This group has been founded to increase awareness, respect, and acceptance of the intellectually disabled across the University of Washington through our attendance of Special Olympics sporting events, fundraising events, and informational events.",Engineering/Tech
Specialty Masters Committee,"The Specialty Masters Committee empowers Foster students to build strategic, analytical, and tech-driven skills in AI and ML through case competitions, industry engagement, and real-world projects that connect Foster with the Seattle business community.",Engineering/Tech
Speech and Hearing Sciences Doctoral Student Association,The SPHSC DSA at the UW is a Ph.D. student-led organization that aims to provide a voice for doctoral students in the Speech and Hearing department.,Engineering/Tech
Spheres at the University of Washington,This year we will host various graduate student and professor seminars discussing interdisciplinary topics based on the Anthropology field. We will also host events to connect students with volunteering and research opportunities. All are welcome!,Academic
Sports Analytics Club at UW,"The purpose of Sports Analytics Club at UW is to educate a diverse body of students in data analytics through the interdisciplinary medium of sports, helping them discover different aspects of analytics and how it plays a role in professional sports.",Engineering/Tech
Sports Management Club at UW,"The mission of the Sports Management Club is to provide its members with a platform for opportunity through collaborative group discussions, weekly updates on the latest news articles around sports, and career advancment work",Business/Entrepreneurship
Sports Medicine Club @ UW,"Club intended to gather students in pre-physical therapy, pre-medical, and related pre-health careers to gather and learn more about the intersection of sports and medicine through workshops, general meetings, professional opportunities, and mentorship.",Pre-Health/Medical
Stage Notes,"Stage Notes promotes the art of musical theater on the UW campus, provides opportunities for UW students to participate in all aspects of musical theater productions, and produces musicals for the entertainment of the UW community and the public at large",Arts/Creative
Star Wars Club at UW,Our purpose is to create a safe and fun space for Star Wars fans and those wanting to become Star Wars fans!,Hobbies/Interest
StarCraft 2 at University of Washington,A club dedicated to the game StarCraft 2.,Gaming/Esports
Startup Club,"The Startup Club is a hub for entrepreneurial minds to innovate, collaborate, and bring ideas to life. We provide mentorship, funding opportunities, workshops, and networking with industry experts. Join us to turn your vision into reality.",Business/Entrepreneurship
Statistics & Probability Association,"The Statistics and Probability Association (SPA) is a welcoming place to meet fellow students as well as cultivate an interest, community, and professional development in statistics. Both Statistics majors and non-majors are welcome to join the SPA!",Professional Development
Steel Bridge Team at UW,"The Steel Bridge Competition increases awareness of real-world engineering issues such as spatial constraints, material properties, strength, serviceability, fabrication and erection processes, safety, aesthetics, and project management and cost.",Engineering/Tech
STEM Book Club,"Check out our website to learn more and apply! https://sites.google.com/view/uwstembookclub/home The STEM Book Club encourages scientific exploration through books, films, and research.",Academic
STEM Pals,"We aim to encourage, inspire & (st)empower Washingtonian high school students to pursue STEM-related activities and education post-graduation.",Academic
StepUp Dance Crew,StepUp is a UW student-led dance group founded in 2013 and earns high reputation in the Great Seattle area. Currently we have 30 crew members and over 100 community members. We do various dance genres including Choreography (,Arts/Creative
Stop the Bleed at WWAMI Alaska,"We teach our community how to perform life saving measures during emergencies with bleeding. We teach them to assess their environment, call 911, and the steps to stop a bleed including how to use a tourniquet.",Service/Volunteer
Stop the Bleed Seattle,"UWSOM Service Learning Project and student group. We teach Stop the Bleed classes using the American College of Surgeons official STB curriculum. Our goal is to extend the basic, life-saving principles and practices of hemorrhage control to everyone.",Academic
Strawberries &amp; Sudoku at UW,Strawberries &amp; Sudoku is a club for enthusiasts of all things strawberries and lovers of sudoku! We host sudoku-solving competitions on the first Monday of every month where participants compete for strawberry-related prizes.,Hobbies/Interest
Student Activities Office,Welcome to HuskyLink!,General Interest
Student Advisory Board,"Student Advisory Board to Rickey Hall, Vice President for the Office of Minority Affairs and Diversity",Engineering/Tech
Student Advocates for Immigrant Justice,"SAI Justice is a UW Law student organization committed to service, advocacy, and community education with the goal of addressing the harms created by our current immigration system.",Service/Volunteer
Student Animal Legal Defense Fund,To protect the lives and promote the interests of animals through the legal system.,Hobbies/Interest
Student Association for Fire Ecology UW Chapter,"A community for graduate and undergraduate students who are working in differing realms of fire ecology, within the school and beyond.",Service/Volunteer
Student Bar Association,"The Student Bar Association (SBA) is the governing body for all University of Washington law students and student organizations. We bridge the gap between the legal community, the administration, faculty, and students.",Service/Volunteer
Student Chapter of the American Library Association (sALA) at the University of Washington,"To encourage participation in the American Library Association, and provide a forum for the exchange of ideas about trends, issues, and opportunities in the profession.",Arts/Creative
"Student College of Clinical Pharmacy, UW Chapter","SCCP is a student chapter of a national pharmacy organization, American College of Clinical Pharmacy, and focuses on providing information and opportunities to explore patient care, research, and education in clinical pharmacy.",Pre-Health/Medical
Student Environmental Affairs Society,"SEAS facilitates connections among students in the UW School of Marine and Environmental Affairs (SMEA) through community building endeavors, networking opportunities, outreach initiatives, service projects, and social gatherings.",Service/Volunteer
Student Environmental Health Association,"SEHA is committed to community engagement and education, advocating for environmental justice and creating professional opportunities in the field of environmental and occupational health.",Academic
Student for Christ,The objective of SFC Northwest is to glorify God through the adherence to the SFC Principles.,General Interest
Student Health Law Organization,"Encouraging awareness and public service related to laws and policies that affect access to quality, affordable health care.",Pre-Health/Medical
Student Mycology Club,Our club wants to create an educated community full of mushroom enthusiasts and people who care about the environment.,Hobbies/Interest
Student National Dental Association at University of Washington,"The SNDA has a longstanding goal to promote, aid, and support the academic and social environment of minority dental students. The UW local chapter strives to establish solidarity, engage in oral health outreach, and create opportunities for leadership.",Pre-Health/Medical
Student National Medical Association,The Student National Medical Association (SNMA) is the oldest and largest student run organization focused on the needs and concerns of medical students of color. SNMA supports current and future underrepresented medical students...,Pre-Health/Medical
Student National Pharmaceutical Association,"SNPhA is an educational service association of pharmacy students who are concerned about pharmacy and healthcare related issues, and the poor minority representation in pharmacy and other health-related professions.",Pre-Health/Medical
Student Occupational Therapy Association,"The purpose of this organization to promote student engagement within the occupational therapy department and within the community. This group supports involvement between cohorts, faculty, and ongoing education opportunities.",Academic
Student Organ Donation Advocates at University of Washington,"Advocate for the life-saving impact of organ and tissue donation and work to help reduce organ shortage through education, fundraising, outreach, and donor registration efforts at the University of Washington community.",Service/Volunteer
Student Parent and Caregiver Advocacy at the University of Washington,"We are an organization of students that are also parents or caregivers. Our goal is to advocate for an adequate childcare, support system and resources for all student parents on campus.",Greek Life
Student Pediatric Pharmacy Advocacy Group (PediaPUPS),We are a University of Washington School of Pharmacy student organization dedicated to engaging professional students in pediatric pharmacy practice and positively impacting the pediatric population within the community.,Pre-Health/Medical
Student Policy Institute at the University of Washington,"The Student Policy Institute focuses on developing initiatives to support and better student life at UW. With our commitment to democracy, education, and advocacy our goal is to advance student interests through long-term policy.",Political/Activism
Student Professionalism and Ethics Association in Dentistry at University of Washington School of Dentistry,"The Student Professionalism and Ethics Association in Dentistry is a national, student driven association that supports a student’s lifelong commitment to ethical behavior in order to benefit the patients they serve and further the dental profession.",Pre-Health/Medical
Students Demand Action UW Chapter,We’re young activists committed to ending gun violence in our communities. We’re rising up and organizing in our university to demand action to end gun violence.,General Interest
Students for a National Health Program at the University of Washington,"Students for a National Health Program at the University of Washington (SNaHP-UW) advocates for universal, comprehensive single-payer national health insurance. SNaHP-UW believes that access to high-quality health care is a right of all people.",Pre-Health/Medical
Students for Democracy,"This organization is meant to foster stronger connections between and within RSOs by giving a chance to debate and discuss ideas and problems we notice on campus, in our communities, and within our nation. It is presented as a bi-quarterly conference.",Arts/Creative
Students for Global Health,"Students for Global Health aims to strengthen the movement for global health equity by empowering students to collaboratively improve the health of people around the world. We offer professional development, service, and networking opportunities.",Professional Development
Students for International Labor Solidarity at the University of Washington,"Students for International Labor Solidarity (SILS) is an anti-capitalist and anti-imperialist, student-led labor-solidarity organization. We partner with workers and communities to leverage student power toward campaigns for economic justice.",Engineering/Tech
Students for Labor and Employment Justice,"Students for Labor and Employment Justice (SLEJ) strives to bring workers’ rights to the forefront of legal conversation. Based in the Law School, SLEJ connects students with a community of passionate and dedicated lawyers working in labor & employment.",Political/Activism
Students for Nuclear Justice at UW,To raise awareness of nuclear justice issues through education and work towards increasing nuclear justice through student action projects.,Academic
Students for Sensible Drug Policy UW Chapter,"SSDP UW is a group of dedicated university students fighting to end the ""War on Drugs"" through activism, policy reform, education, and more. We provide lifesaving harm reduction resources for the university community. Visit our instagram @ssdp.uw!!",Political/Activism
Students of Color for Public Health,"SCPH is dedicated to providing a space for students of color interested in public health. We strive to promote health within marginalized communities through education, service, professional development, social justice, and empowerment.",Professional Development
Students of Color in LIS at the University of Washington,The purpose of this organization shall be to help support students of color in the Masters of Library and Information Science program at the University of Washington iSchool.,General Interest
Students Supporting Israel UW Chapter,To provide a place and voice for a pro-Israel message on campus and a place to engage in a civil discussion about the Israeli-Palestinian Conflict. It also simply provides a place where students can express pride in Israel and its many aspects.,General Interest
StudentsCare at UW,"Connect undergraduate healthcare students at UW with hospitalized children, isolated seniors, and their families, to provide fun, friendship, and support.",Pre-Health/Medical
Studio Nerima,"Studio Nerima is a film making club inspired by Japanese media culture. Our goal of the club is to make a community where everyone can freely share their creative ideas about Japanese Film. Also, anyone can join the production team to make our own film!",Arts/Creative
Summer Health Professions Education Program at the University of Washington,"SHPEP is a free 6-week summer program for students to explore their interest in medicine, dentistry, nursing, optometry, pharmacy, physical therapy, public health, and more. We have 11 other partner institutions around the nation in addition to UW.",Pre-Health/Medical
Sumo Union Membership Organization,Huskies who want to watch Japanese Grand Sumo with some friends. Primarily meeting during each of the six yearly tournaments.,Sports/Recreation
Sunclub,"Sunclub is an outdoor activities club, based in North Campus. When the weather's nice out (usually Spring quarter), we hang out on a giant picnic blanket, throw frisbees, socialize, read, sunbathe, and/or whatever else we feel like. We're pretty chill.",Arts/Creative
Surgery Interest Association,"We are a Registered Student Organization at the University of Washington with a focus on expanding knowledge and opportunities for undergraduate students interested in surgery. Join us for panels, clinics, and tours!",Pre-Health/Medical
Survivors and Allies In Law,"We are a law student organization committed to service, advocacy, and community with the goal of supporting survivors.",Service/Volunteer
Sustainable Education Initiative,SEI is a group of undergraduate students working to establish a Sustainability General Education Requirement on campus.,Academic
Swim Club at UW,A group for swimmers with a competitive background to establish a supportive place for people to swim and stay active.,Sports/Recreation
Swing Kids at UW,"Swing Kids at UW seeks to teach swing dancing, provide a social network, foster creativity and encourage a love for dancing.",Professional Development
Synapse at the University of Washington,"At Synapse, we believe connection is a powerful form of medicine. Our mission is to support individuals with brain injury through cultivating a robust social support network, raising public awareness about brain injury, and creating a powerful community",Pre-Health/Medical
Synaptech at University of Washington,"Synaptech is an engineering RSO focused on developing projects using various neural interfaces and educating students about topics surrounding neurotechnology such as neuroscience, neural engineering, and neuroethics.",Engineering/Tech
TadkaTech,To provide a space for South Asians who are interested in Technology to share interests and ideas,Engineering/Tech
Taiko Kai,"Our goal is to broaden perspectives on Japanese culture through the strength and energy of Japanese drumming, also known as taiko. We hope to promote a sense of pride, heritage, and social understanding, while providing a fun and energetic environment.",Engineering/Tech
Taiwanese Graduate Students and Professional Association,We support Taiwanese international graduate students and alumni by creating a space that fosters belonging and sustainable community-building.,Engineering/Tech
Taiwanese Overseas Student Association,"Taiwanese Overseas Student Association (TOSA) is a nonprofit, student-run organization at the University of Washington.",Engineering/Tech
Taiwanese Student Association,"The Taiwanese Student Association at UW is dedicated to promoting Taiwan's rich culture and heritage at the University of Washington and in the Greater Seattle area. We are home to the annual UW Night Market, the largest student-run event at our school!",Engineering/Tech
Taiwanese Youth Alliance of Pacific Northwest,TYAPN's mission is to advance the abilities of Taiwanese youths through unity in increasing the contributions of Taiwanese overseas students and bringing positive impacts on the Taiwanese society through academically and career related events.,Academic
Tamara F. Lawson Black Pre-Law Journal,"The Black Law Journal is a platform for BIPOC undergraduate legal scholarship, dedicated to exploring legal issues affecting Black communities and promoting diversity in law. It publishes scholarly articles, opinion pieces, case analyses, and creative",Arts/Creative
TAMID UW,"The TAMID UW is a student-led, non-political organization that connects undergrads with Israeli startups through business education, consulting, investment research, and internships in Israel.",Business/Entrepreneurship
Tango Club at University of Washington,We are a community of Argentine Tango dancers at University of Washington. Our club creates a welcoming environment to encourage learning and improvement in both new and experienced dancers with the goal of growing the young tango community in Seattle!,Academic
Tap Club at UW,"Tap Club at University of Washington aims to build a community of passionate dancers by providing an inclusive, supportive, and energizing environment for students of all skill levels to learn tap dance!",Engineering/Tech
Tau Beta Pi Washington Alpha Chapter,Tau Beta Pi is the nation's second oldest honor society and the only academic honor society representing the entire engineering profession. The purpose of the organization is to recognize integrity and excellence in engineering.,Academic
Tax Law Society at the University of Washington,"The TLAUW is a student-led organization dedicated to fostering a community for students interested in tax law. The society organizes events and guest speaker sessions, offering opportunities for networking and professional growth.",Professional Development
TCF USA University of Washington Chapter,"Host social events for students.Raise awareness and highlight current issues impacting Pakistan, through a series of engaging lectures and debates.Showcase documentary screenings and host seminars held by intellectual guest speakers to encourage dialogue",Engineering/Tech
Tea Club,"We provide a way for experienced tea drinkers or people potentially curious about the world of tea to come together, meet each other, talk about tea, and drink tea together.",International/Global
Team Bao,"We're a badminton club where our sole goal is to help our members improve their badminton technique through dedicated drills and training. Unlike Husky Badminton Club, we focus more on the ""how"" of getting better, moving beyond casual play with training.",Engineering/Tech
"Technical Association of Pulp and Paper Industry, University of Washington Student Chapter","To promote the curricular, professional, and social development of University of Washington students majoring in fields related to the paper and bioproducts industry.",Professional Development
Technology and Business Association,"Through organizing events and producing original content, we aim to provide a platform to connect students with industry professionals where they can exchange ideas about technology and business and support a smooth transition from academia to career.",Engineering/Tech
Technology Consulting Association at the University of Washington,"We equip UW students with hands-on tech consulting experience, preparing them for careers in technology. Our members gain the opportunity to tackle real client projects while mastering essential, industry-level computing skills.",Engineering/Tech
Technology Law Society,The Technology Law Society works to bring the technology related legal resources of both the law school and surrounding community to the student body.,Engineering/Tech
TEDx at UofW,"TEDxUofW is established to bring inspirational and informative TED style talks to the University of Washington. Since 2012, our organization has sought to give amazing speakers a receptive audience to share their passion. https://tedxatuofw.com/",General Interest
Thai Student Association at University of Washington,"ThaiSA is established to promote knowledge of Thai culture, traditions, and to foster ties between Thai students at the UW and the UW community. ThaiSA hosts cultural events and activities in which the student body is welcomed to join.",Engineering/Tech
The Actuary Club,"To network with local actuaries, build a campus community, inform students about the actuarial profession, and organize study groups for the actuarial exams.",Academic
The American Lung Cancer Screening Initiative (ALCSI) at the University of Washington,The American Lung Cancer Screening Initiative (ALCSI) at UW raises awareness for lung cancer and promotes lung cancer screening for high-risk individuals.,Engineering/Tech
The Association of Chemical Engineering Graduate Students,"The purpose of ACES is to improve the lives of chemical engineering graduate students as well as foster a supportive and rewarding community by organizing community outreach, professional development, and social events.",Service/Volunteer
The Association of Library and Information Science Students at the University of Washington,ALISS is the official student government organization for Library & Information Science students at the University of Washington.,Political/Activism
the BASEMENT,The Basement is an online gallery publication created for and by students at the University of Washington School of Art + Art History + Design to share their art and other creative works; and to have a common space to connect with peers.,Arts/Creative
The Biomedical Bulletin,"The Bulletin holds biomedical journal club meetings every other week, aiming to provide a space where undergraduate students can come together to develop skills in dissecting and analyzing current research papers.",Academic
The Black Student Journal,The Black Student Journal functions as a platform for the written work of students on the University of Washington campus.,Cultural/Identity
The Book Nook at University of Washington,"The Book Nook at UW aims to create an environment for readers to talk about books without deadlines. We host events such as book trading, visits to bookstores, and various reading/book related workshops. We meet every Monday from 5:15 - 6:15 pm.",Engineering/Tech
The Boring Club at UW,An engineering project club! We help UW students build the engineering skills they are passionate about with hands-on learning in a relaxed environment.,Academic
The Brotherhood of Chi Theta Psi,The Brotherhood of Chi Theta Psi is an inclusive Filipino and Asian interest fraternity whose purpose is to fortify the members experience on campus through their pillars while providing a platform for members to grow and support surrounding communities.,Greek Life
The Catalysts: Biochemistry and Chemistry Journal Club,The Catalysts is a student-led Biochemistry and Chemistry Journal Club. Join us to present and discuss cutting-edge research papers and make new connections!,Academic
The Collage Club,"Cut, paste, rearrange! The Collage Club aims to form community through a shared love of all things collage. No experience is necessary: our meetings are the perfect space to gain inspiration from different artists and explore new ideas.",Engineering/Tech
The Collective Improv Troupe,"Founded in 1998, The Collective Improv Troupe is a student-led comedy improv troupe that produces fully original content and performances! Though improv is our specialty, we write sketches, standup, and produce online podcast and video comedy content.",Media/Publications
The Council for Global Health Scholars at University of Washington,A consortium of University-based student chapters focused on building tomorrow’s healthcare leaders by supporting today’s communities in-need through on-campus innovation projects targeting specific global health issues.,Academic
The Dental Anesthesia Club for Students at UWSOD,The Dental Anesthesia Club for Students at UWSOD is established to assist dental students in developing their knowledge of the role of anesthesia and sedation in dentistry.,Pre-Health/Medical
The Diabetes Link @ The University of Washington,This club supports people living with Type I Diabetes and their allies.,Hobbies/Interest
The Dirty Dozen Student Farm Club,"Dirty Dozen is UW's farm club, focused on teaching and practice small-scale regenerative agriculture. Through plot work and community events, they share knowledge about ways to sustainably grow food. Dirty Dozen works in collaboration with UW Farm.",Engineering/Tech
The Dwelling Place,"We are a dwelling place for God - a family who loves Jesus and makes disciples of all nations. We are a prayer and discipleship group focused on growing and walking in community, who gathers to encounter God's heart for the nations and for UW.",Arts/Creative
The Electrochemical Society UW Chapter,"The purpose of ECS@UW is to provide an opportunity to better understand electrochemical and solid-state sciences, to have a venue for meeting fellow students, and to spread knowledge of electrochemical science to the community.",Service/Volunteer
The Euro Club at the University of Washington,The Euro Club is a community for UW students of all majors who are interested in Europe. Our events range from fun culture nights to interesting guest lectures. Check out our social media or contact us for info on upcoming events and how to get involved!,Hobbies/Interest
The Experiential Design Club for Refined Afterparties,The purpose of this organization is to collaboratively design and curate meaningful experiences for ourselves and others.,Arts/Creative
The Foundation for International Understanding Through Students (FIUTS) Student Board,"FIUTS (The Foundation for International Understanding Through Students) advances international understanding through cross-cultural experiences, student leadership, and community connections.",Cultural/Identity
The Gaia Project at University of Washington,The Gaia Project aims to create a better ecological and gender environment by promoting real-life solutions of sustainability and equality by bringing students from all majors and backgrounds who care about the environment and gender equity.,Environmental/Sustainability
The Garden of Ideas,"The Garden of Ideas is the UW's only undergraduate philosophy journal. The purpose of The Garden of Ideas is to democratize philosophy and broaden philosophical discussion by publishing a variety of types of work, from academic to informal writing.",Academic
The German Club at the University of Washington,"Through its meetings and special events, the German Club at the University of Washington creates a welcoming community for students at UW who are interested in practicing the German language and learning about the cultures of the German-speaking world.",Hobbies/Interest
The Golf Club at UW,We are a laid-back and inclusive student-run sports club centered around the game of golf.,Sports/Recreation
The Hiking Club at UW,"The Hiking Club is an organization focused on getting our community outside. We host group hiking trips designed to get people of all skill levels involved. Whether you've never set foot on a mountain before or are a certified Dirtbag, we want you here!",Engineering/Tech
The Historical Review at UW,The Historical Review at UW is a student-run undergraduate journal showcasing writing and research in the field of history.,Academic
The Husky Business Journal,"The Husky Business Journal enhances UW students' understanding of business in Seattle through a YT channel featuring videos on individual businesses. Members gain skills in research, videography, and reporting while networking with industry professionals",Professional Development
The Integral Game Plan,"Our goal is to analyze performance in real life applications such as sports, finance and education. At IGP, members will learn to make informed decisions in scenarios of fantasy teams, stock market predictions and optimized study plans.",Academic
THE KOMPANY,"THE KOMPANY is a K-Pop dance company formed to provide learning opportunities for those interested in K-Pop and Hip-Hop dance, as well as performing and filming opportunities for those interested in participating in video dance cover production.",Arts/Creative
The Lettuce Eating Club at the University of Washington,"Come one, come all to the Lettuce Eating Club! We are an RSO that engages in competitive lettuce eating at the highest level and climate activism at the greatest importance. Bring your own head of lettuce and try and become the Sultan of Salad.",Environmental/Sustainability
"The Lovely Sisterhood of Chi Delta Sigma Sorority, Incorporated (Inc.)","The first and only AAPI interest sorority at the University of Washington seeking to promote awareness of AAPI experiences, our philanthropies, empowerment of becoming woman leaders, and supporting academic aspirations.",Greek Life
The Math Agency at the University of Washington,We are working to close education gaps for students in the greater Seattle area.,Academic
The National Society of Leadership and Success,"We are the nation's largest leadership honor society, where high-potential students nominated by their college come together to identify and achieve their goals.",Academic
The Pink Club,Our mission at The Pink Club is to encourage women to be comfortable speaking in male-dominated spaces. We discuss a variety of pop culture topics using a philosophical lens to allow students to practice speaking without academic pressure.,Academic
The Professional Networking and Business Development Club @ UW,The Professional Networking and Development Club is an exclusive club at UW that hosts influential guest speakers from a wide range of industries and hosts competitions and workshops with entrepreneurs and sales professionals from Seattle.,Professional Development
The Purple Group,"The Purple Group provides a peer support network for undocumented students that meet weekly to foster community building, connect with allies, share resources, participate in workshops, and discuss issues affecting immigrant communities today.",Arts/Creative
The Pursuit NW Young Adults,"The Pursuit YA exists to glorify Jesus and in doing so, bring young adults into an encounter with the presence of God",General Interest
The Remote Hub Lab Club,Providing resources from the Remote Hub Lab to students at the UW,Hobbies/Interest
The Sisterhood of Pi Nu Iota,"The purpose of the Sisterhood of Pi Nu Iota shall be to fortify its members through academic excellence, community service, cultural awareness and womxn's empowerment.",Service/Volunteer
The Songwriters Circle at UW,"The Songwriters Circle at the University of Washington is a place for all active and aspiring songwriters to sharpen their skills, share their ideas, get live performance experience, and get connected to the center of the student-run music scene",Sports/Recreation
The Tabletop Wargaming Club at UW,Welcome to the Tabletop Wargaming Club! Our club is a community dedicated to creating a space for hobbyists interested in Warhammer 40k and other tabletop Wargames.,Hobbies/Interest
The Thomistic Institute at the University of Washington,"The Thomistic Institute at UW exists to promote the thought of St. Thomas Aquinas, a 13th century theologian and philosopher. The TI brings nationally renowned speakers to campus on any topic related to Thomistic philosophy or theology.",Greek Life
The Ukrainian Students United at University of Washington,"USU seeks to promote awareness and understanding of the political, historical, economic, and cultural issues of Ukraine from diverse viewpoints.",Engineering/Tech
The Undergraduate Law Review at the University of Washington,"The Undergraduate Law Review's mission is to provide undergraduate students the opportunity to engage critically with the laws which govern our lives, to guide members toward achievement in critical practice, and to publish legal scholarship.",Academic
The Washington Journal of Social & Environmental Justice,The Washington Journal of Social & Environmental Justice (WJSEJ) is a student-run and peer-reviewed journal publishing legal scholarship examining social and environmental justice questions and issues with the goal of promoting positive change.,Academic
The Wildlife Society UW Student Chapter,"We are a student chapter of The Wildlife Society, a national organization that empowers wildlife professionals to advance conservation through science, community, and professional excellence.",Service/Volunteer
The Women's Network at UW,"The Women’s Network is an organization that encourages and promotes the empowerment of women. The mission of the club is to inspire and empower women of all ages, backgrounds and interests to act on their own ambitions.",Hobbies/Interest
The Xochimeh of the North,The Xochimeh of the North would be a Mexican dance group specializing in ballet folklorico. The group would cover the various dancing styles of Mexico and would be open to all students at the University of Washington to help Mexico's culture bloom at UW,Arts/Creative
Theta Chi Fraternity- Alpha Rho,"To bind by closer bonds the members to each other, and the mutual benefit and improvement of all members. To create and improve ties of each member to their community of which they reside by selfless service.",Greek Life
Theta Delta Chi,"Through scholarship, leadership, and a responsible social life, the Brothers of Theta Delta Chi prepare each other to thrive in a changing world!",Greek Life
Theta Tau Engineering Fraternity,"Theta Tau is a co-ed professional engineering fraternity that aims to create a balance of community service, professional development, and brotherhood among our members. We are the largest and oldest professional engineering fraternity in the US.",Engineering/Tech
ThinkCyber UW Chapter,"Cybersecurity org focused on accessible hands-on learning, digital safety, and professional development. Open to all majors and skill levels. A chapter of the ThinkCyber Foundation promoting awareness, education, and resilience.",Academic
Third Space at UW,"The Third Space is a student-run art collective that operates out of the UW School of Art. Our mission is to inspire, support, and teach young artists how to show their work, find community in the arts, and find their creative voice. We host quarterly pu",Arts/Creative
THRIVE: Training for Healthcare Readiness through Integrated Versatility and Experience,"Thrive is an RSO empowering future healthcare professionals by fostering practical skills, well-being, and community. Through education, creative activities, and inclusivity, we promote open dialogue to support students on their pre-health journey.",Academic
Thucydides Society for Military History,"Our organization aims to cultivate the understanding of and appreciation for military history. We study military history of all time periods, though with an emphasis on the modern one. We do so through lectures, discussions, quizzes, war games, and more.",Academic
Timber Strong Design Build,Students participate in an intercollegiate competition in designing and building a two-story timber structure within one hour! Engineering principles and methods are emphasized in optimizing the performance and efficiency of the structure. Join us!,Arts/Creative
Timmy Global Health UW Chapter,Mission: Timmy Global Health works to empower communities to address health disparities in a sustainable way Vision: Building a healthier world through a community of global leaders,International/Global
tiny hearts association,pre-health community for people interested in the pediatric healthcare.,Pre-Health/Medical
Toki Pona Club,"Toki Pona Club is a UW student-led organization dedicated to spreading the language of Toki Pona and providing students with a casual, accessible way to learn a new language.",Hobbies/Interest
Traces,"The purpose of Traces is to provide a reflective and inclusive space for the sharing, archiving, and uplifting of narratives that are often marginalized, overlooked, or forgotten.",Greek Life
Traditional Chinese Dance,"Traditional Chinese Dance at UW aims to spread Chinese culture to the people of UW by building a community of passionate dancers and providing an inclusive, supporting, and energizing environment for students to learn diverse ethnic Chinese dance styles.",Engineering/Tech
Trans Collective at University of Washington,Trans Collective at University of Washington aims to center trans joy and resilience through community building and to dismantle cis normative ideals. We are committed to providing space for BIPOC trans folks and celebrating intersectional identities.,Engineering/Tech
Triangle Fraternity,"The purpose of Triangle UW is to create and maintain a fraternity of engineers, architects, and scientists at the University of Washington.",Greek Life
Turkish Student Association at the University of Washington,"The Turkish Student Association works to promote Turkish culture in the UW community. This is through group activities, fundraisers, presentations, projects, and dialogue. Anyone who is interested in learning more about Turkish culture is welcome.",Academic
Turning Point USA at the University of Washington,"The mission of Turning Point USA at UW is to educate students about the importance of fiscal responsibility, free markets, and limited government through non-partisan debate, dialogue, discussion &amp; activism.",Political/Activism
Tzu Chi Collegiate Association Seattle Chapter,The Tzu Chi Collegiate Association at Seattle (Seattle & UW Tzu Ching) is the service-based collegiate organization that carries out the missions of the Tzu Chi Foundation. The Tzu Ching club provides an opportunity for volunteer work in the local area.,Service/Volunteer
U-TEST,U-TEST is a medical student-run organization that provides free and anonymous HIV testing to the Seattle community.,Pre-Health/Medical
Ultrasound Interest Group,UWSOM students interested in ultrasound as a diagnostic modality and its clinical applications.,Pre-Health/Medical
Undecided Specialty Interest Group,This interest group is created for students who are undecided about a specialty and want to explore and learn more about the wide range of options available to them.,Engineering/Tech
Undergraduate Business Council,"To foster our community by building unity, collaboration, and leadership amongst Foster RSOs by providing opportunities, supports and resources to aid their success in cultivating our community.",Engineering/Tech
Undergraduate Linguistics Society at the University of Washington,"Fostering a community of students seeking linguistic opportunities, resources, and discussions. We aim to make linguistics accessible at UW through regular events, activities, and community outreach.",Service/Volunteer
Undergraduate Theater Society,"The Undergraduate Theater Society creates inclusive and equitable quality learning opportunities for all undergraduates at the University of Washington. By producing engaging theatre, we strive to explore the lived experiences of our diverse world.",Arts/Creative
Undergraduate Women in Business (UWiB),UWiB's mission is to advance the next generation of female business leaders through personal and professional development opportunities!,Professional Development
Underwater Remotely Operated Vehicles (UWROV) Team at the University of Washington,"We design, build, and operate underwater robots (ROVs), competing in the international MATE competition!",Arts/Creative
unicoRN,"unicoRN is a group of students at UW School of Nursing dedicated to promoting awareness of, care for, and research with the queer population through advocacy and collective action.",Academic
Unidas Seremos,"It shall be the purpose of Unidas Seremos to establish an organization which provides unity among multicultural women. Unidas Seremos is committed to promote diversity through cultural awareness, academic excellence, and community service.",Cultural/Identity
